Lexus GX,$ 26 000                                                                                                                                                                                                                                                                                                                                  2 283 320 сом,2006г.4.7л.автоматвнедорожник5дв.бензинрульслева200000км,https://im.mashina.kg/tachka/images//8/6/4/8648c78ab056c9ab9a33f1c55a143726_240x180.jpg
Chevrolet Epica,$ 7 900                                                                                                                                                                                                                                                                                                                                  693 778 сом,2008г.2л.автоматседанбензинрульслева190000км,https://im.mashina.kg/tachka/images//1/e/2/1e24b7e188ee29b10be473f0c6be4d88_240x180.jpg
Hyundai Maxcruz,$ 31 666                                                                                                                                                                                                                                                                                                                                  2 780 908 сом,2017г.2.2л.автоматвнедорожник5дв.дизельрульслева103000км,https://im.mashina.kg/tachka/images//4/3/0/43052c2854b574d07074fef97d5f7203_240x180.jpg
Kia Sportage,$ 45 999                                                                                                                                                                                                                                                                                                                                  4 039 632 сом,2022г.1.6л.роботвнедорожник5дв.бензинрульслева50км,https://im.mashina.kg/tachka/images//5/c/2/5c21ced8291bef43615bfb3cb3357799_240x180.jpg
Toyota Camry,$ 16 400                                                                                                                                                                                                                                                                                                                                  1 440 248 сом,2017г.2.5л.автоматседанбензинрульслева75000км,https://im.mashina.kg/tachka/images//4/a/4/4a4bee9be9ca40f4515db655d7c3c2bb_240x180.jpg
Toyota Sequoia,$ 45 000                                                                                                                                                                                                                                                                                                                                  3 951 900 сом,2013г.5.7л.автоматвнедорожник5дв.бензинрульслева140000км,https://im.mashina.kg/tachka/images//4/0/b/40b3cfe520c21da929c5889859f5d1b1_240x180.jpg
Mercedes-Benz Vito,$ 10 300                                                                                                                                                                                                                                                                                                                                  904 546 сом,2009г.2.1л.механикаминивэндизельрульслева218000км,https://im.mashina.kg/tachka/images//1/c/2/1c267918d5dcdecc8a2ab2d49f8fd0df_240x180.jpg
Toyota Highlander,$ 37 800                                                                                                                                                                                                                                                                                                                                  3 319 596 сом,2017г.3.5л.вариаторвнедорожник5дв.гибридрульслева96148км,https://im.mashina.kg/tachka/images//3/b/9/3b9ca04cff17a81c7f39715fa5ad6342_240x180.jpg
Lexus LX,$ 22 500                                                                                                                                                                                                                                                                                                                                  1 975 950 сом,2003г.4.7л.автоматвнедорожник5дв.бензинрульслева153542км,https://im.mashina.kg/tachka/images//0/7/8/0786924ca4cce073ebeac2d4fabded51_240x180.jpg
Lexus RX,$ 42 500                                                                                                                                                                                                                                                                                                                                  3 732 350 сом,2017г.3.5л.автоматвнедорожник5дв.бензинрульслева64000км,https://im.mashina.kg/tachka/images//6/a/b/6ab426eeeb32464ae54761c8d1901893_240x180.jpg
Lexus ES,$ 31 000                                                                                                                                                                                                                                                                                                                                  2 722 420 сом,2017г.2.5л.вариаторседангибридрульслева77000км,https://im.mashina.kg/tachka/images//8/8/3/88352816e1ca477943903f9c11ffafcf_240x180.jpg
Toyota Land Cruiser,$ 35 500                                                                                                                                                                                                                                                                                                                                  3 117 610 сом,2008г.4.7л.автоматвнедорожник5дв.бензинрульслева321000км,https://im.mashina.kg/tachka/images//b/d/f/bdfdc8c903f336cf3745f0f062a5fd58_240x180.jpg
